context,question,answer
Итоговый проект,Есть ли итоговый проект после завершения курса?,"Да, после каждого модуля ученики выполняют итоговый проект, который демонстрируют родителям и одноклассникам. Это помогает закрепить полученные знания. Хотите узнать больше о программе?"
Курсы включают,Какие преимущества есть у ваших курсов?,"Наши курсы включают: индивидуальный подход, обучение с использованием современных технологий, сертифицированные тренеры, участие в соревнованиях и поддержку на каждом этапе обучения. Хотите узнать больше о расписании?"
Индивидуальные консультации,Какие дополнительные услуги вы предоставляете?,"Мы предлагаем индивидуальные консультации, помощь в разработке проектов и подготовку к соревнованиям. Хотите узнать больше о дополнительных услугах?"
Узнать о расписании,У вас есть курсы только по выходным?,"Да, наши курсы проходят по субботам и воскресеньям, чтобы было удобно даже для самых занятых семей. Хотите узнать о расписании?"
Для взрослых,Есть ли занятия для взрослых?,"Пока мы проводим занятия только для детей. Но если вам интересны курсы по программированию или робототехнике для взрослых, мы можем рассмотреть возможность их запуска. Хотите оставить заявку?"
Поддержка детей без опыта,"Моему ребёнку сложно, он раньше не занимался робототехникой.",Поддержка детей без опыта — один из наших приоритетов! Мы обучаем с нуля и сопровождаем на каждом этапе. Хотите подобрать начальный курс?
Вступительное занятие,Есть ли вводное занятие перед началом обучения?,"Да, у нас предусмотрено вступительное занятие, на котором ребёнок может познакомиться с программой и попробовать себя. Хотите записаться на вступительное занятие?"
Группы по уровню,Как вы формируете группы?,Мы организуем группы по возрасту и уровню знаний — группы по уровню позволяют обеспечить индивидуальный подход и комфорт в обучении. Хотите пройти небольшой тест для определения уровня?
Английский язык на занятиях,А используется ли английский на занятиях?,"Да, английский язык на занятиях используется для знакомства с техническими терминами и интерфейсами — это развивает профессиональный словарь. Хотите подробнее узнать об этом?"
Спецпредложения,У вас есть какие-то скидки или акции?,"Конечно! Мы регулярно запускаем спецпредложения, включая скидки за друга, акции на пробные уроки и сезонные абонементы. Хотите, расскажу о текущих спецпредложениях?"
Развитие soft skills,Развиваются ли у детей навыки общения?,"Да, развитие soft skills — важная часть наших занятий! Проекты в команде помогают детям научиться взаимодействовать, договариваться и презентовать идеи. Хотите подробнее узнать о формате занятий?"
Участие родителей,Могут ли родители присутствовать на занятии?,"Участие родителей возможно на итоговых демонстрациях. Мы ценим самостоятельность детей, но обязательно приглашаем родителей на важные события. Хотите узнать дату ближайшего мероприятия?"
Варианты оплаты,Какие есть способы оплаты?,"Мы предлагаем разные варианты оплаты — наличными, банковской картой или онлайн. Выберите удобный для вас вариант оплаты. Хотите оплатить сейчас?"
Интенсивы на каникулах,А вы проводите занятия во время каникул?,"Да, у нас проходят интенсивы на каникулах — это короткие насыщенные курсы, которые идеально подходят для знакомства с робототехникой. Хотите узнать даты ближайших интенсивов?"
Безопасность на занятиях,Насколько безопасны ваши занятия?,"Безопасность на занятиях — наш приоритет. Все курсы проходят в оборудованных аудиториях, с соблюдением санитарных норм и под контролем опытных педагогов. Хотите приехать посмотреть?"
Проекты для портфолио,Можно ли использовать проекты из курсов в портфолио?,"Да, проекты для портфолио — это важный результат обучения! Ребёнок может представить свои работы на конкурсах и при поступлении в специализированные школы. Хотите узнать больше о содержании проектов?"
Гибкое бронирование,"Можно ли перенести занятие, если не получится прийти?","Да, у нас действует гибкое бронирование — вы можете перенести занятие при предварительном уведомлении. Хотите указать новое время?"
Смена группы,Можно ли перейти в другую группу?,"Конечно! Смена группы возможна при необходимости — по возрасту, времени или уровню. Хотите, я проверю наличие мест в других группах?"
Подготовка к олимпиадам,Вы готовите к олимпиадам?,"Да, у нас есть специальная программа по подготовке к олимпиадам — подготовка к олимпиадам помогает развить системное мышление и навыки решения задач. Хотите узнать о формате?"
Разработка игр,А можно ли научиться создавать игры?,"Да, у нас есть курсы, где дети изучают разработку игр — модуль 'Разработка игр' особенно популярен среди подростков. Хотите подробнее узнать о курсе?"
Рекомендации педагогов,Вы даёте обратную связь по занятиям?,"Да, мы предоставляем рекомендации педагогов после каждого модуля. Рекомендации педагогов помогут понять сильные стороны ребёнка и зоны роста. Хотите получить пример отчета?"
Смена направления обучения,Можно ли поменять направление в середине курса?,"Да, если ребёнку стало интересно другое направление — возможна смена направления обучения. Мы поможем подобрать подходящий курс. Хотите перейти на другой модуль?"
Занятия с друзьями,Можно ли записаться в одну группу с другом?,"Конечно! Занятия с друзьями делают обучение ещё увлекательнее. Сообщите, с кем хотите заниматься, и мы подберём группу. Хотите оставить заявку?"
Фотографии с занятий,"Можно ли посмотреть, как проходят занятия?","Да, мы регулярно выкладываем фотографии с занятий в Instagram и в чат с родителями. Хотите, я пришлю ссылку на свежие фотографии с занятий?"
Подарочные сертификаты,Можно подарить курс в виде подарка?,"Да, у нас есть подарочные сертификаты на пробные и полноценные курсы. Подарочные сертификаты — это отличный вариант для оригинального подарка. Хотите оформить?"
Каникулы и перерывы,Есть ли перерывы на каникулах?,"Мы делаем перерывы на государственные праздники, но также предлагаем интенсивы в это время. Если вы хотите отдохнуть — можно приостановить абонемент. Хотите узнать, когда ближайшие каникулы?"
Совмещение с другими кружками,Можно ли совмещать с другими кружками?,"Да, наши занятия легко совмещаются с другими кружками — расписание гибкое, и вы можете выбрать удобное время. Хотите подобрать вариант?"
Онлайн-консультации для родителей,Проводятся ли консультации для родителей?,"Да, мы проводим онлайн-консультации для родителей, где обсуждаем успехи ребёнка и даём рекомендации. Хотите записаться на ближайшую консультацию?"
Курсы программирования,"Есть ли у вас только программирование, без робототехники?","Да, у нас есть курсы программирования отдельно от робототехники — курс Python для подростков, Scratch для младших. Хотите узнать больше о направлениях?"
Индивидуальный план обучения,Можно ли составить индивидуальный план?,"Да, мы предлагаем индивидуальный план обучения — он учитывает возраст, интересы и цели ребёнка. Хотите, мы составим персональную траекторию?"
Образовательный портал,Есть ли у вас личный кабинет или онлайн-платформа?,"Да, у нас есть образовательный портал, где размещаются домашние задания и материалы. Доступ предоставляется после регистрации. Хотите попробовать демо-доступ?"
Оплата по модулям,Можно ли оплачивать по частям?,"Да, у нас доступна оплата по модулям — это удобно и гибко. Вы можете оплачивать курс по мере прохождения. Хотите уточнить условия?"
Наборы Lego в классе,Что входит в оборудование для занятий?,В классах используются оригинальные наборы Lego — наборы Lego в классе предоставляются каждому ученику на время занятия. Хотите посмотреть фото классов?
Обратная связь в мессенджерах,Можно ли получать информацию о занятиях в WhatsApp?,"Да, мы даём обратную связь в мессенджерах, включая WhatsApp и Telegram. Родители всегда в курсе успехов детей. Хотите присоединиться к чату?"
Сменная обувь и форма,Нужно ли брать что-то с собой?,"Сменная обувь и форма — всё, что нужно принести на занятие. Остальное оборудование мы предоставим. Хотите список для первого посещения?"
Возрастная адаптация программ,Вы адаптируете курсы под возраст ребёнка?,"Да, у нас предусмотрена возрастная адаптация программ — мы учитываем особенности восприятия детей 5–9 и 9–17 лет. Хотите подобрать подходящий уровень?"
Клубные дни,У вас бывают внеклассные мероприятия?,"Да! Мы проводим клубные дни — это тематические встречи, мастер-классы и конкурсы, которые помогают детям раскрыться. Хотите получить расписание ближайших клубных дней?"
Летний лагерь,Есть ли у вас занятия летом?,"Да, каждое лето мы организуем летний лагерь с занятиями по робототехнике и программированию. Летний лагерь — это отличная возможность совместить отдых и обучение. Хотите узнать подробнее?"
Сертифицированные программы,У вас есть лицензия или сертификаты?,"Да, мы используем сертифицированные программы, соответствующие образовательным стандартам. Хотите ознакомиться с документами?"
Семейный день,Бывают ли мероприятия для всей семьи?,"Да! Мы проводим семейный день, когда родители могут вместе с детьми принять участие в мастер-классах. Хотите узнать дату следующего семейного дня?"
Видеоматериалы,Можно получить видеозапись занятий?,Видеоматериалы предоставляются только для индивидуальных курсов. Но мы делимся фрагментами в соцсетях и на платформе. Хотите пример видео?
Командные проекты,Дети работают в командах?,"Да, у нас предусмотрены командные проекты, которые учат детей сотрудничеству и распределению ролей. Хотите узнать, как проходит работа в команде?"
Конструкторы Arduino,А вы работаете только с Lego?,"Нет, помимо Lego мы используем и конструкторы Arduino — это позволяет детям старшего возраста изучать электронику и схемотехнику. Хотите посмотреть список оборудования?"
Занятия в будние дни,Можно ли ходить на занятия в будни?,"Да, помимо выходных, у нас есть занятия в будние дни — вечером после школы. Занятия в будние дни удобны для тех, кто хочет разгрузить выходные. Хотите посмотреть расписание?"
Психологическая поддержка,Как вы работаете с застенчивыми детьми?,У нас предусмотрена психологическая поддержка — педагоги мягко помогают ребенку адаптироваться и почувствовать уверенность. Хотите поговорить с методистом?
Обратная связь после пробного,Будет ли обратная связь после пробного урока?,"Да, мы обязательно даем обратную связь после пробного урока — рассказываем об успехах и предлагаем программу. Хотите записаться на пробный?"
Игровой подход в обучении,Будет ли ребенку интересно?,"Да, у нас применяется игровой подход в обучении — это делает занятия увлекательными и помогает лучше усваивать материал. Хотите узнать, какие игры мы используем?"
Абонемент для брата и сестры,Могут ли брат и сестра заниматься в одно время?,"Да, вы можете оформить абонемент для брата и сестры — мы постараемся подобрать удобное время для обеих групп. Хотите проверить доступность времени?"
Прогресс по модулям,"Как понять, насколько ребёнок продвинулся?",Мы отслеживаем прогресс по модулям — после каждого этапа вы получаете отчет с рекомендациями. Хотите увидеть пример отчета?
Награды и дипломы,Дети получают дипломы?,"Да, мы вручаем награды и дипломы за участие в курсах и конкурсах. Это отличная мотивация для учеников. Хотите посмотреть образец диплома?"
Работа с мотивацией,А если ребёнку быстро наскучит?,"Мы постоянно работаем с мотивацией — задания обновляются, добавляются челленджи и командные активности. Хотите узнать о геймификации в курсе?"
Преподаватели с опытом,Кто будет вести занятия?,Занятия проводят преподаватели с опытом — все наши педагоги проходят обучение и имеют практический опыт в ИТ и образовании. Хотите посмотреть профили педагогов?
Первые успехи ребёнка,Через сколько будет результат?,"Первые успехи ребёнка видны уже через 2–3 занятия — он собирает, программирует и начинает думать как инженер! Хотите записаться на первый модуль?"
Поддержка после завершения курса,А что после окончания курса?,После курса мы предлагаем поддержку — ребёнок может продолжить обучение на следующем уровне или участвовать в клубных проектах. Хотите узнать о дальнейших шагах?
Подарки за успехи,Дети получают что-то за успехи?,"Да! У нас есть подарки за успехи — это стикеры, значки, дипломы и приятные бонусы, чтобы поощрить старания. Хотите узнать, как это работает?"
Обучение через практику,Как проходит обучение на занятиях?,"У нас используется обучение через практику — дети учатся, собирая роботов и решая реальные задачи. Хотите увидеть примеры заданий?"
Междисциплинарный подход,Вы только программированием занимаетесь?,"Нет, у нас применяется междисциплинарный подход — дети осваивают не только ИТ, но и математику, физику, логику. Хотите подробнее узнать о содержании?"
Открытые уроки,"Можно ли родителям посмотреть, как проходят занятия?","Да, мы периодически проводим открытые уроки — это отличная возможность увидеть прогресс ребёнка и задать вопросы преподавателям. Хотите записаться на ближайший открытый урок?"
Гибкая система уровней,"А что, если ребёнку станет слишком легко?","У нас предусмотрена гибкая система уровней — мы можем оперативно перевести ребёнка в более сложный курс. Хотите узнать, какие уровни доступны?"
Робототехника с 5 лет,Со скольки лет можно начать заниматься?,У нас возможна робототехника с 5 лет — курсы адаптированы под малышей и проходят в игровом формате. Хотите получить программу курса?
Учёт интересов ребёнка,Вы подстраиваетесь под интересы ребёнка?,"Да, у нас учитываются интересы ребёнка — при выборе проектов он может выбрать тему, которая ему близка. Хотите рассказать, что ему интересно?"
Современные технологии в обучении,Какие технологии вы используете?,Мы используем современные технологии в обучении — от Lego до Arduino и Scratch. Всё оборудование предоставляется. Хотите посмотреть список?
Родительский чат,Как можно быть в курсе прогресса?,"Мы ведем родительский чат — там вы получаете фото, отчёты и новости с занятий. Хотите, я добавлю вас в чат?"
Дополнительные материалы,Можно ли заниматься дома?,"Да, мы предоставляем дополнительные материалы — домашние задания, видеоуроки и инструкции для закрепления. Хотите доступ к материалам?"
Системность обучения,Обучение у вас построено по системе?,"Да, у нас реализована системность обучения — занятия идут по модулям с постепенным усложнением. Хотите ознакомиться с программой?"
Семейная абонементная карта,Можно ли приобрести один абонемент на двух детей?,"Да, у нас есть семейная абонементная карта, позволяющая обучаться двум детям по одному тарифу. Хотите уточнить условия?"
Контроль качества занятий,Как вы проверяете качество преподавания?,У нас действует контроль качества занятий — мы собираем обратную связь и проводим регулярные методические проверки. Хотите оставить отзыв?
Курсы в мини-группах,Сколько детей на одном занятии?,Мы проводим курсы в мини-группах — обычно 3–5 учеников. Это позволяет уделить внимание каждому. Хотите выбрать удобное время?
Клуб выпускников,Что делают дети после окончания курсов?,"Они могут присоединиться к нашему клубу выпускников — участвовать в проектах, конкурсах и развивать навыки. Хотите узнать больше?"
Проектное мышление,Какую пользу приносит обучение?,"Наши занятия развивают проектное мышление — дети учатся планировать, реализовывать и защищать свои идеи. Хотите увидеть примеры проектов?"
Подготовка к международным конкурсам,Вы участвуете в международных соревнованиях?,"Да, у нас есть подготовка к международным конкурсам — наши ученики представляли Казахстан на WRO, FLL и других олимпиадах. Хотите, чтобы ваш ребёнок тоже попробовал?"
Формирование инженерного мышления,Какие навыки получит мой ребёнок?,"Занятия способствуют формированию инженерного мышления — логика, анализ, работа с чертежами и прототипами. Хотите пример учебного задания?"
Обучение в удовольствие,Моему ребёнку не нравится школа. Зайдёт ли ему курс?,"У нас обучение в удовольствие — занятия интерактивные, с играми и творческими заданиями. Это совсем не похоже на школу. Хотите прийти на пробный урок?"
Поддержка родительского участия,Можно ли родителям помогать детям?,"Да, у нас приветствуется поддержка родительского участия — вы можете участвовать в конкурсах, проектах и быть рядом. Хотите записаться на совместный воркшоп?"
Конкурсы внутри клуба,Вы проводите свои конкурсы?,"Да, у нас проходят конкурсы внутри клуба — дети соревнуются по сборке, коду и презентации проектов. Хотите, чтобы ваш ребёнок поучаствовал?"
Карта навыков,"Как понять, чему научился ребёнок?","Мы выдаём карту навыков — по окончании модуля вы видите, что освоено: кодинг, логика, механика. Хотите получить пример?"
Стажировки для старших учеников,А подростки могут проходить практику?,"Да, у нас есть стажировки для старших учеников — они могут работать ассистентами и набирать опыт. Хотите обсудить возможности?"
Выездные мероприятия,Вы организуете экскурсии?,"Да, мы проводим выездные мероприятия — экскурсии в технопарки, на заводы и в университеты. Хотите узнать расписание?"
Открытые соревнования,"Можно ли участвовать в конкурсах, если не ученик школы?","Да, у нас есть открытые соревнования, в которых могут участвовать все желающие. Хотите узнать, когда ближайший конкурс?"
Мастер-классы от гостей,Вы приглашаете экспертов?,"Да, мы проводим мастер-классы от гостей — инженеры, преподаватели вузов и айтишники делятся опытом. Хотите попасть на одно из таких мероприятий?"
Профориентация через робототехнику,Может ли это помочь с выбором профессии?,"Да, у нас реализована профориентация через робототехнику — дети узнают о реальных инженерных и IT-профессиях в процессе обучения. Хотите подробнее узнать о направлениях?"
Обучение в формате квеста,Как вы удерживаете внимание детей?,"Мы применяем обучение в формате квеста — задания с сюжетом, поощрения, уровни сложности. Это вовлекает и мотивирует! Хотите попробовать квест-урок?"
Практика на конкурсных платформах,Где дети могут применить знания?,"Мы даем практику на конкурсных платформах — Codewars, Scratch, Arduino Contests и др. Хотите, я покажу примеры таких заданий?"
Модульное обучение,Как строится программа?,У нас модульное обучение — каждый модуль длится от 1 до 3 месяцев и имеет конкретную цель. Хотите увидеть структуру модулей?
Поддержка самооценки ребёнка,Как вы мотивируете детей?,"Мы оказываем поддержку самооценки ребёнка — успехи фиксируются, выдаются награды, дается позитивная обратная связь. Хотите посмотреть, как это реализуется?"
Роботы своими руками,Дети сами собирают роботов?,"Да, у нас дети делают роботы своими руками — от проекта до финального теста. Это развивает креативность и ответственность. Хотите фото готовых работ?"
Динамика в обучении,Не будет ли скучно на занятиях?,"Нет, у нас всегда поддерживается динамика в обучении — смена активностей, челленджи, творческие задания. Хотите посмотреть расписание урока?"
Навыки презентации,Ребёнок научится презентовать свои проекты?,"Да, мы развиваем навыки презентации — дети готовят доклады, выступают перед группой и родителями. Хотите увидеть пример итоговой презентации?"
Партнёрские олимпиады,С кем вы сотрудничаете по конкурсам?,Мы участвуем в партнёрских олимпиадах — совместно с университетами и IT-компаниями. Хотите узнать про ближайшие события?
Сертификат с детализацией,Что включает сертификат после курса?,Мы выдаём сертификат с детализацией — он содержит список изученных тем и достигнутые цели. Хотите пример?
Эксперименты с физикой,Изучаете ли вы физику?,"Да, у нас проходят эксперименты с физикой — дети учатся законам движения, энергии и передачи сигнала. Хотите пример лабораторного задания?"
Группы выходного дня,Можно ли заниматься только по выходным?,"Да, у нас есть группы выходного дня — это удобно для семей с плотным графиком. Хотите узнать о свободных местах?"
Обучение с наставником,Есть ли куратор у ребёнка?,"Да, у нас реализовано обучение с наставником — за каждым ребёнком закреплён педагог, который отслеживает прогресс. Хотите связаться с куратором?"
Интеграция с реальной техникой,Ребёнок будет работать с настоящим оборудованием?,"Да, у нас происходит интеграция с реальной техникой — роботы, датчики, платы и ПО. Хотите увидеть список устройств?"
Менторская поддержка выпускников,Поддерживаете ли выпускников после окончания?,"Да, мы предоставляем менторскую поддержку выпускников — помогаем в проектной и конкурсной деятельности. Хотите присоединиться к сообществу выпускников?"
Конструирование на результат,Занятия больше про теорию или практику?,"У нас основа — конструирование на результат: ученик создаёт, тестирует, улучшает. Хотите увидеть пример готовой конструкции?"
Профиль ребёнка,Вы ведёте досье на ребёнка?,"Да, мы формируем профиль ребёнка — с динамикой, интересами, достижениями и рекомендациями. Хотите получить свой?"
Адаптация новых учеников,Как новенькие встраиваются в процесс?,Мы обеспечиваем адаптацию новых учеников — проводим вводный инструктаж и помогаем наладить контакт с группой. Хотите записаться?
Кодинг с нуля,Мой ребёнок не умеет программировать. Это проблема?,"Нет, у нас предусмотрен кодинг с нуля — обучение начинается с самых базовых понятий. Хотите выбрать начальный курс?"
Задания на логику,Программирование — это сложно?,"У нас есть задания на логику, которые подготавливают к программированию — это весело и понятно. Хотите попробовать демо-задание?"
Рефлексия после занятий,Вы обсуждаете итоги занятия с детьми?,"Да, у нас проводится рефлексия после занятий — дети делятся впечатлениями, отвечают на вопросы и ставят цели. Хотите узнать, как это происходит?"
Бонусы за активность,Есть ли у вас система поощрений?,"Да, мы используем бонусы за активность — дети получают звёзды, баллы и стикеры за участие и старание. Хотите увидеть, как это выглядит?"
Современные методики STEAM,На чём основана ваша программа?,"Мы используем современные методики STEAM — соединяем науку, технологии, искусство и математику в одном курсе. Хотите программу?"
Смена направления обучения,А если ребёнку станет интересно другое направление?,"Да, возможна смена направления обучения — мы гибко подстраиваемся под интересы и развитие ребёнка. Хотите рассмотреть другие курсы?"
Бережная адаптация малышей,А 5-летним детям не будет сложно?,"Нет, у нас предусмотрена бережная адаптация малышей — занятия проходят в мягком игровом формате. Хотите записаться на вводное?"
Роботы на соревнования,Каких роботов собирают дети?,"Дети собирают роботы на соревнования — они проектируют модели, которые могут выполнять задания и соревноваться на аренах. Хотите узнать, как проходит подготовка?"
Игровая мотивация,Как вы заинтересовываете детей в обучении?,"У нас используется игровая мотивация — баллы, звания, командные челленджи, которые стимулируют интерес. Хотите посмотреть примеры игровых заданий?"
Платформа для домашних заданий,Где дети выполняют домашние задания?,"У нас есть специальная платформа для домашних заданий, где размещены инструкции, видео и проверочные тесты. Хотите получить доступ?"
Логическое мышление,Какие навыки развиваются на курсе?,"Одно из ключевых направлений — развитие логического мышления, которое помогает решать задачи и строить алгоритмы. Хотите увидеть примеры упражнений?"
Обратная связь от преподавателя,Получим ли мы фидбэк после каждого занятия?,"Да, вы будете получать обратную связь от преподавателя — короткий отчёт, фото и рекомендации по следующему шагу. Хотите включить вас в чат?"
Знакомство с алгоритмами,Чему именно учат на программировании?,Одно из первых направлений — знакомство с алгоритмами. Дети учатся строить пошаговые инструкции и управлять логикой работы. Хотите попробовать простое задание?
Проекты с датчиками,Используются ли сенсоры?,"Да, мы делаем проекты с датчиками — движения, цвета, расстояния. Дети программируют реакции роботов. Хотите узнать, как это реализовано?"
Визуальное программирование,С какого языка программирования начинается обучение?,"Мы начинаем с визуального программирования — интерфейсы типа Scratch, EV3, которые понятны даже малышам. Хотите попробовать демо-задание?"
Командные соревнования,Участвуют ли дети в командных играх?,"Да, у нас проходят командные соревнования — ребята работают вместе, чтобы победить в инженерных и кодинговых челленджах. Хотите принять участие?"
Цифровое портфолио,Можно ли сохранить проекты ребёнка?,"Да, мы создаём цифровое портфолио — в нём хранятся фото, видео и описания всех достижений. Хотите получить ссылку на образец?"
Тематические модули,Чем отличаются модули курсов?,"У нас есть тематические модули — например, 'Роботы-помощники', 'Гоночные роботы', 'Игровая механика'. Хотите узнать, какой модуль будет следующим?"
Внимание к каждому ученику,Сможет ли преподаватель уделить внимание каждому?,"Да, у нас приоритет — внимание к каждому ученику. Маленькие группы и индивидуальный подход позволяют это реализовать. Хотите выбрать группу?"
Геймификация обучения,Как удерживается интерес на протяжении курса?,"Через геймификацию обучения — уровни, квесты, соревнования и открытые баллы. Дети вовлечены с первого дня. Хотите попробовать вводное задание?"
Индивидуальные цели развития,Можно ли учесть особенности моего ребёнка?,"Да, у нас ставятся индивидуальные цели развития — для каждого ребёнка составляется личная траектория. Хотите пройти диагностику?"
Блоки по электронике,Есть ли у вас курсы по электронике?,"Да, мы проводим блоки по электронике — изучаем схемы, подключаем платы, паяем простые устройства. Хотите попробовать этот модуль?"
Сотрудничество с вузами,С кем вы сотрудничаете?,"Мы активно развиваем сотрудничество с вузами — Астана IT University, НУ, КазНТУ и др. Хотите узнать, как участвовать в совместных мероприятиях?"
Игровые форматы финальных занятий,Что происходит в конце модуля?,"Финальные занятия проходят в игровых форматах — защита проектов, челленджи, мини-соревнования. Хотите принять участие?"
